Customer_ID;recency;frequency;monetary
1.0;788;1;1950.00
2.0;665;1;510.00
3.0;484;1;7430.00
4.0;27;5;2567596.45
5.0;788;1;1110.00
6.0;788;1;250.00
7.0;514;1;105.00
8.0;788;1;192998.00
9.0;788;1;5500.00
10.0;788;1;732.00
11.0;573;3;4595.00
12.0;665;1;3783.00
13.0;604;5;616965.30
14.0;484;1;12921.75
15.0;239;3;151622.93
16.0;331;5;2317522.46
17.0;788;1;7652.00
18.0;788;1;3000.00
19.0;665;1;5726.00
20.0;27;8;4356126.38
